"date","balanced","aggressive","conservative"
2011-03-31,2.02242806592427,2.07349946128162,1.72527504397899
2011-04-29,2.07893634313025,2.13496367158924,1.76772418252354
2011-05-31,2.04259887790044,2.09133392862789,1.75309455911508
2011-06-30,2.01907679523104,2.06484635922613,1.73522068109335
2011-07-29,1.99169089014848,2.02758414665805,1.72543368233691
2011-08-31,1.85615847267289,1.8696440352136,1.65321595032176
2011-09-30,1.65712089718462,1.64645608121735,1.54314088413527
2011-10-31,1.84279377296645,1.85736131493042,1.65789572066696
2011-11-30,1.82421131522656,1.83803259881004,1.64600489999633
2011-12-30,1.8065689492027,1.81817687896134,1.64646962136513
2012-01-31,1.92751266440597,1.95183317825876,1.72083945560904
2012-02-29,1.99534759275598,2.02849969425633,1.76455975434307
2012-03-30,1.9961230008969,2.03628013923386,1.76954870768269
2012-04-30,1.97129717927342,2.00520813625491,1.76027014109125
2012-05-31,1.82363538228134,1.8339889734778,1.67755058634325
2012-06-29,1.90110605705367,1.92390323286607,1.72546313343841
2012-07-31,1.90653809906203,1.92655184441303,1.7383078040219
2012-08-31,1.94241141692972,1.9707975767644,1.76227888502754
2012-09-28,2.00321864468838,2.03834455735479,1.80039226251117
2012-10-31,1.98996250875209,2.02259186171942,1.78889947384513
2012-11-30,2.01815170731503,2.05460178922352,1.80587692876494
2012-12-31,2.0922205554175,2.13736745789436,1.84380376526699
2013-01-31,2.14138816708339,2.20125055970712,1.87790829683051
2013-02-28,2.13492395643991,2.19512455670262,1.88126184958833
2013-03-28,2.16543039479973,2.23459936883591,1.90724669111366
2013-04-30,2.20279767460585,2.27633862864614,1.93657142929226
2013-05-31,2.18218036287104,2.26470107608773,1.92193946630796
2013-06-28,2.12836458044004,2.21048512188144,1.88269671712046
2013-07-31,2.20833709222544,2.30769693456099,1.93893753378532
2013-08-30,2.1533999575956,2.24530144829201,1.89801544046009
2013-09-30,2.27375688685392,2.38195966771009,1.97337937295315
2013-10-31,2.35280683766587,2.47177449120971,2.03133523459051
2013-11-29,2.38862094212732,2.5177319890494,2.05725251736909
2013-12-31,2.41235362387097,2.54976222508274,2.07455720542592
2014-01-31,2.30275293916295,2.42188209376341,2.01623557468808
2014-02-28,2.39476311877195,2.53078535641965,2.07893589036291
2014-03-31,2.42731106700367,2.5660702541151,2.09719484326445
2014-04-30,2.43161180304394,2.56766504655386,2.10617593050883
2014-05-30,2.4753368142925,2.61395124832374,2.14243699346138
2014-06-30,2.52711939178557,2.67494706682422,2.17522712189014
2014-07-31,2.48629654158938,2.62243603002644,2.14862826005965
2014-08-29,2.5541569996401,2.698838134815,2.20281433188553
2014-09-30,2.43820856025739,2.56938308668744,2.13634962274901
2014-10-31,2.50131114548948,2.6426004616235,2.18232039948676
2014-11-28,2.51008839450774,2.65397081552773,2.20055128036327
2014-12-31,2.48235928151033,2.62518298155423,2.18655945893688
2015-01-30,2.43912744717994,2.56555370378864,2.16535849837506
2015-02-27,2.55164634560997,2.70242328377936,2.23709008661285
2015-03-31,2.53529102615579,2.68314073478747,2.22496655757879
2015-04-30,2.58661826269054,2.73759034291359,2.25252870858469
2015-05-29,2.56979280610157,2.72488544589697,2.24656544592706
2015-06-30,2.52535425614952,2.67757070046026,2.21026322877163
2015-07-31,2.49210216428979,2.64308700579732,2.20715245220019
2015-08-31,2.34601150572927,2.4745092361399,2.10834093284241
2015-09-30,2.27910618777909,2.39242712397099,2.07011895464061
2015-10-30,2.41595682541864,2.55501944920573,2.16939825106504
2015-11-30,2.41432083319698,2.55772026289809,2.1677717780258
2015-12-31,2.34327762219134,2.47466436997998,2.12441622825969
2016-01-29,2.23928394089921,2.34712658880176,2.0604036689845
2016-02-29,2.23635397764089,2.34154324458482,2.0637526112414
2016-03-31,2.41210782093714,2.54257954968351,2.18119422955651
2016-04-29,2.43910542352989,2.57491071338123,2.19771951439795
2016-05-31,2.4300465544384,2.56863081185486,2.19990233306342
2016-06-30,2.45800524916628,2.59102200735105,2.22664588141831
2016-07-29,2.55691031688041,2.70531592210598,2.29387529884181
2016-08-31,2.57173403723683,2.72329533284735,2.30048216323659
2016-09-30,2.59816515357336,2.75244116334327,2.31403216706367
2016-10-31,2.54609912871695,2.69142180482139,2.27592084980645
2016-11-30,2.61068004600071,2.78752501765265,2.30784035887036
2016-12-30,2.65605316572736,2.8437588661218,2.34053400367966
2017-01-31,2.70946960484198,2.90030213570925,2.37616480966582
2017-02-28,2.76043820436825,2.95920051412502,2.42259149962846
2017-03-31,2.79288051528892,2.99422020522235,2.43905535608046
2017-04-28,2.82761272433273,3.03185134598409,2.46626712132241
2017-05-31,2.85613502788237,3.06051796377223,2.49108500442651
2017-06-30,2.88977093298001,3.10106566180846,2.5107623524058
2017-07-31,2.96169494630395,3.17994058089595,2.55835120072903
2017-08-31,2.96239731566961,3.173368242329,2.56573860916972
2017-09-29,3.04918072936094,3.28390518030739,2.61533759838659
2017-10-31,3.10225629321213,3.34388074871193,2.65399397236961
2017-11-30,3.1536648783407,3.40939035734868,2.6941141670968
2017-12-29,3.19581691705169,3.45333176311872,2.72430653453093
2018-01-31,3.33364569497255,3.61321145111234,2.81586839275242
2018-02-28,3.19213935474237,3.45231070749599,2.71902541925351
2018-03-29,3.18623867886187,3.4415845251624,2.70546607958294
2018-04-30,3.18653874843086,3.4508256393997,2.70268873350506
2018-05-31,3.2253690989266,3.50225814430305,2.73864365410415
2018-06-29,3.19432463170854,3.47175711988976,2.72679286836349
2018-07-31,3.2845133750615,3.57817653169151,2.79155518448734
2018-08-31,3.29952230586675,3.60209674446231,2.82016203622284
2018-09-28,3.27318366723305,3.57233677034501,2.80669926229977
2018-10-31,3.02037762909739,3.27428035219314,2.63663035540453
2018-11-30,3.0756002502833,3.33265751082335,2.67874757833955
2018-12-31,2.86397347630674,3.06740617935842,2.53657387120567
2019-01-31,3.10965010020615,3.35415226947148,2.70484844269129
2019-02-28,3.16778890347188,3.43003258817149,2.75067645415168
2019-03-29,3.16732890882426,3.4200053066792,2.77347506410921
2019-04-30,3.26503391027987,3.53855192803984,2.84419919047063
2019-05-31,3.05467409839956,3.28250925568334,2.71334840238905
2019-06-28,3.24122825590245,3.50096256472371,2.85197486678039
2019-07-31,3.23524540733888,3.49770664508158,2.85906884850697
2019-08-30,3.15150559356887,3.38958938289406,2.82505521888891
2019-09-30,3.23673442571482,3.49551942852054,2.87508338474496
2019-10-31,3.31880258837435,3.58999022922777,2.93075217226083
2019-11-29,3.37710338621868,3.66316763437124,2.98188389320114
2019-12-31,3.49922153776606,3.80188788565563,3.06110693540418
2020-01-07,3.4918052820252,3.79153071479752,3.06168242053601
